Item Number,Category Name,Item Description,Vendor,Vendor Name,Bottle Volume (ml),Pack,Inner Pack,Age,Proof,List Date,UPC,SCC,State Bottle Cost,State Case Cost,State Bottle Retail,Report Date
928271,Iowa Distilleries,Cedar Ridge Private Cask Iowa Bourbon Selection 105prf,125,CEDAR RIDGE VINEYARDS LL,750,6,1,2,105,12/01/2018,859824001836,10854781004514,23.00,138.00,34.50,04/01/2019
936878,Iowa Distilleries,Foundry Vodka Jeske Farms Buy the Barrel,566,"Foundry Distilling Company, LLC",750,6,1,0,80,01/01/2019,850826008021,10854781004514,7.93,47.58,11.90,04/01/2019
937095,Iowa Distilleries,Foundry Vodka Absolute Group,566,"Foundry Distilling Company, LLC",750,6,1,0,80,03/01/2019,850826008014,10854781004514,7.93,47.58,11.90,04/01/2019
937099,Iowa Distilleries,Foundry Vodka Gilcrest Jewett,566,"Foundry Distilling Company, LLC",750,6,1,0,80,03/01/2019,850826008014,10854781004514,7.93,47.58,11.90,04/01/2019
937536,Iowa Distilleries,Foundry Vodka Premier,566,"Foundry Distilling Company, LLC",750,6,1,0,80,03/01/2019,850826008014,10854781004514,7.93,47.58,11.90,04/01/2019
937970,Iowa Distilleries,Foundry Vodka SSI,566,"Foundry Distilling Company, LLC",750,6,1,0,80,03/01/2019,850826008014,10854781004514,7.93,47.58,11.90,04/01/2019
939611,Iowa Distilleries,North Forty Vanilla Vodka,325,Lonely Oak Distillery,750,6,1,0,70,11/01/2018,19962231513,10854781004514,14.00,84.00,21.00,04/01/2019
943366,Iowa Distilleries,Castillo Spiced Rum,035,BACARDI USA INC,750,12,1,0,70,05/01/2018,80480275402,10854781004514,4.16,49.92,6.24,04/01/2019
953650,Iowa Distilleries,Cedar Ridge Apple Brandy Private Cask,125,CEDAR RIDGE VINEYARDS LL,750,6,1,0,80,01/01/2019,859824001928,10854781004514,18.75,112.50,28.13,04/01/2019
956790,Iowa Distilleries,Paul Masson Apple Grande Amber Brandy Mini,115,CONSTELLATION BRANDS INC,600,10,12,5,54,12/01/2016,21296620154,10854781004514,7.12,71.20,10.68,04/01/2019
956796,Iowa Distilleries,Paul Masson Grande Amber Pineapple Brandy,115,CONSTELLATION BRANDS INC,200,24,1,0,80,03/01/2019,21296620178,10854781004514,1.96,47.04,2.94,04/01/2019
956802,Iowa Distilleries,Paul Masson Red Berry Grande Amber Mini,115,CONSTELLATION BRANDS INC,50,10,12,5,54,04/01/2018,21296620086,10854781004514,7.12,71.20,10.68,04/01/2019
966136,Iowa Distilleries,Passoa Liqueur,305,Mhw LTD,750,12,1,0,40,03/01/2016,87236565374,10854781004514,7.74,92.88,11.61,04/01/2019
973240,Iowa Distilleries,Cody Road Quad City Collaboration,306,MISSISSIPPI RIVER DISTIL,750,6,1,0,90,12/01/2018,855037005517,10854781004514,19.00,114.00,28.50,04/01/2019
984486,Iowa Distilleries,Paramount Butterscotch Schanpps DISCO,434,LUXCO INC,750,12,1,0,44,10/01/2016,86816106945,10854781004514,4.75,57.00,7.13,04/01/2019
986990,Iowa Distilleries,Cedar Ridge Sir Maple Bourbon Whiskey,125,CEDAR RIDGE VINEYARDS LL,750,1,1,0,86,12/01/2018,859824001454,10854781004514,108.60,108.60,162.90,04/01/2019
987827,Iowa Distilleries,Casa Noble Crystal Jovan Single Barrel Tequila,115,CONSTELLATION BRANDS INC,750,6,1,0,102,04/01/2017,721059707503,10854781004514,22.50,135.00,33.75,04/01/2019
