Animal ID,Intake Type,In Date,Pet name,Animal Type,Pet Age,Pet Size,Color,Breed,Sex,URL Link ,Crossing
A448578,OWNER SUR,03/21/2019,BUTTER,DOG,6 YEARS,MED,WHITE / TAN,AMERICAN STAFF,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A448578&location=MONT,
A445367,STRAY,11/28/2018,*SKY,DOG,4 YEARS,LARGE,TAN / WHITE,AM PIT BULL TER / WEIMARANER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A445367&location=MONT,"2900 UNIVERSITY BLVD W, KENSINGTON MD 20895"
A433407,STRAY,12/26/2017,*SCOOBY,DOG,8 YEARS,LARGE,BEIGE,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A433407&location=MONT,"1500 AITCHESON LN, LAUREL MD 20707"
A434478,OWNER SUR,02/01/2018,NICO,DOG,9 YEARS,LARGE,TAN,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A434478&location=MONT,
A446044,OWNER SUR,12/22/2018,PENNY,DOG,2 YEARS,MED,BLUE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A446044&location=MONT,
A419068,OWNER SUR,11/03/2018,BRODY,DOG,4 YEARS,MED,BROWN,BOXER / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A419068&location=MONT,
A447197,OWNER SUR,02/03/2019,ROXY,DOG,2 YEARS,SMALL,BLUE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A447197&location=MONT,
A443666,OWNER SUR,10/05/2018,SASHA,CAT,3 YEARS,SMALL,BRN TABBY,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A443666&location=MONT,
A371753,CONFISCATE,02/04/2019,ATHENA,DOG,8 YEARS,LARGE,TAN,DOBERMAN PINSCH / LABRADOR RETR,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A371753&location=MONT,
A435335,OWNER SUR,02/15/2019,KING,DOG,9 YEARS,LARGE,BRINDLE / WHITE,AM PIT BULL TER / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A435335&location=MONT,
A443453,STRAY,09/30/2018,*SNOW GOOSE,DOG,3 YEARS,MED,BROWN / GRAY,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A443453&location=MONT,"17200 SNOW GOOSE CT, GERMANTOWN MD 20874"
A447480,TRANSFER,02/14/2019,DOLLY,DOG,2 YEARS,MED,WHITE / BLACK,AM PIT BULL TER / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A447480&location=MONT,
