,name,id,nametype,recclass,mass,fall,year,reclat,reclong,GeoLocation
57,Aumale,54,Valid,L6,50000.0,Fell,1865.0,36.16667,3.66667,"(36.166670, 3.666670)"
58,Aumieres,55,Valid,L6,2000.0,Fell,1842.0,44.33333,3.23333,"(44.333330, 3.233330)"
59,Ausson,56,Valid,L5,50000.0,Fell,1858.0,43.08333,0.58333,"(43.083330, 0.583330)"
60,Avanhandava,57,Valid,H4,9330.0,Fell,1952.0,-21.460279999999997,-49.950829999999996,"(-21.460280, -49.950830)"
61,Avce,58,Valid,"Iron, IIAB",1230.0,Fell,1908.0,46.0,13.5,"(46.000000, 13.500000)"
62,Avilez,59,Valid,H,146.0,Fell,1855.0,25.0,-103.5,"(25.000000, -103.500000)"
63,Awere,60,Valid,L4,134.0,Fell,1968.0,2.71667,32.83333,"(2.716670, 32.833330)"
64,Aztec,61,Valid,L6,2830.0,Fell,1938.0,36.8,-108.0,"(36.800000, -108.000000)"
65,Bachmut,62,Valid,L6,18000.0,Fell,1814.0,48.6,38.0,"(48.600000, 38.000000)"
66,Bahjoi,63,Valid,"Iron, IAB-sLL",10322.0,Fell,1934.0,28.48333,78.5,"(28.483330, 78.500000)"
67,Bald Mountain,64,Valid,L4,3700.0,Fell,1929.0,35.96667,-82.48333000000001,"(35.966670, -82.483330)"
68,Baldwyn,65,Valid,L6,345.0,Fell,1922.0,34.5,-88.66667,"(34.500000, -88.666670)"
69,Bali,66,Valid,CV3,1000.0,Fell,1907.0,5.38333,16.383329999999997,"(5.383330, 16.383330)"
70,Ban Rong Du,67,Valid,"Iron, ungrouped",16700.0,Fell,1993.0,16.66667,101.18333,"(16.666670, 101.183330)"
71,Bandong,68,Valid,LL6,11500.0,Fell,1871.0,-6.91667,107.6,"(-6.916670, 107.600000)"
72,Bansur,69,Valid,L6,15000.0,Fell,1892.0,27.7,76.33333,"(27.700000, 76.333330)"
73,Banswal,70,Valid,L5,14.0,Fell,1913.0,30.4,78.2,"(30.400000, 78.200000)"
74,Banten,71,Valid,CM2,629.0,Fell,1933.0,-6.33333,106.0,"(-6.333330, 106.000000)"
75,Barbotan,72,Valid,H5,6400.0,Fell,1790.0,43.95,-0.05,"(43.950000, -0.050000)"
77,Barea,73,Valid,Mesosiderite-A1,3200.0,Fell,1842.0,42.38333,-2.5,"(42.383330, -2.500000)"
78,Barnaul,74,Valid,H5,23.2,Fell,1904.0,52.73333,84.08333,"(52.733330, 84.083330)"
79,Barntrup,75,Valid,LL4,17.0,Fell,1886.0,52.0,9.1,"(52.000000, 9.100000)"
80,Baroti,76,Valid,L6,4500.0,Fell,1910.0,31.616670000000003,76.8,"(31.616670, 76.800000)"
81,Barwell,77,Valid,L5,44000.0,Fell,1965.0,52.56528,-1.33972,"(52.565280, -1.339720)"
82,Bassikounou,78,Valid,H5,29560.0,Fell,2006.0,15.78333,-5.9,"(15.783330, -5.900000)"
83,Baszkówka,79,Valid,L5,15500.0,Fell,1994.0,52.03333,20.93583,"(52.033330, 20.935830)"
84,Bath,80,Valid,H4,21000.0,Fell,1892.0,45.41667,-98.31667,"(45.416670, -98.316670)"
85,Bath Furnace,81,Valid,L6,86000.0,Fell,1902.0,38.25,-83.75,"(38.250000, -83.750000)"
86,Battle Mountain,82,Valid,L6,2900.0,Fell,2012.0,40.66813,-117.18913,"(40.668130, -117.189130)"
87,Bawku,83,Valid,LL5,1557.0,Fell,1989.0,11.08333,-0.18333,"(11.083330, -0.183330)"
88,Baxter,84,Valid,L6,611.0,Fell,1916.0,36.75,-93.5,"(36.750000, -93.500000)"
