,name,id,nametype,recclass,mass,fall,year,reclat,reclong,GeoLocation
3746,Asuka 880663,3690,Valid,LL6,20.35,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3747,Asuka 880664,3691,Valid,H6,18.96,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3748,Asuka 880665,3692,Valid,H5,33.78,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3749,Asuka 880666,3693,Valid,L4,17.84,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3750,Asuka 880667,3694,Valid,L6,38.32,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3751,Asuka 880668,3695,Valid,H4,14.1,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3752,Asuka 880669,3696,Valid,L6,20.42,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3753,Asuka 880671,3697,Valid,LL4,20.35,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3754,Asuka 880672,3698,Valid,H4,19.93,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3755,Asuka 880673,3699,Valid,H6,18.0,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3756,Asuka 880674,3700,Valid,H5,18.9,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3757,Asuka 880675,3701,Valid,H4,385.28,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3758,Asuka 880676,3702,Valid,H3.6,112.96,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3759,Asuka 880679,3703,Valid,H4,38.78,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3760,Asuka 880684,3704,Valid,H3.9,60.26,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3761,Asuka 880685,3705,Valid,H5,42.37,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3762,Asuka 880686,3706,Valid,H5,22.5,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3763,Asuka 880688,3707,Valid,L6,19.56,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3764,Asuka 880691,3708,Valid,CK4,28.77,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3765,Asuka 880693,3709,Valid,H5,36.63,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3766,Asuka 880694,3710,Valid,H4,10.37,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3767,Asuka 880695,3711,Valid,H3,138.69,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3768,Asuka 880698,3712,Valid,H3,12.96,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3769,Asuka 880700,3713,Valid,H4,327.5,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3770,Asuka 880701,3714,Valid,H4,44.31,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3771,Asuka 880702,3715,Valid,Eucrite,10.52,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3772,Asuka 880703,3716,Valid,H5,11.88,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3773,Asuka 880704,3717,Valid,H5,51.64,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3774,Asuka 880708,3718,Valid,L3.4,33.2,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3775,Asuka 880709,3719,Valid,H3.7,15.22,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3776,Asuka 880710,3720,Valid,H3.6,14.67,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3777,Asuka 880711,3721,Valid,H3.7,59.58,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3778,Asuka 880712,3722,Valid,L6,111.85,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3779,Asuka 880713,3723,Valid,H3.4,16.24,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3780,Asuka 880715,3724,Valid,H5,1909.25,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3781,Asuka 880717,3725,Valid,H6,41.42,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3782,Asuka 880718,3726,Valid,CK5,30.18,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3783,Asuka 880720,3727,Valid,H5,44.29,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3784,Asuka 880721,3728,Valid,H5,113.2,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3785,Asuka 880723,3729,Valid,H5,16.58,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3786,Asuka 880724,3730,Valid,H3.8,78.23999999999998,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3787,Asuka 880725,3731,Valid,H6,48.72,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3788,Asuka 880727,3732,Valid,L6,11.06,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3789,Asuka 880728,3733,Valid,H4,13.01,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3790,Asuka 880729,3734,Valid,H3.8,239.61,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3791,Asuka 880730,3735,Valid,H4,24.09,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3792,Asuka 880731,3736,Valid,H6,10.07,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3793,Asuka 880732,3737,Valid,L6,13.9,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3794,Asuka 880733,3738,Valid,H3.4,16.73,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3795,Asuka 880734,3739,Valid,H4,44.19,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3796,Asuka 880735,3740,Valid,H4,442.46,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3797,Asuka 880736,3741,Valid,LL6,16.85,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3798,Asuka 880737,3742,Valid,H4,47.19,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3799,Asuka 880738,3743,Valid,L6,40.75,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3800,Asuka 880740,3744,Valid,H4,22.1,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3801,Asuka 880741,3745,Valid,H5,29.84,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3802,Asuka 880742,3746,Valid,H4,37.14,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3803,Asuka 880743,3747,Valid,H5,37.26,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3804,Asuka 880744,3748,Valid,H4,154.38,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3805,Asuka 880745,3749,Valid,H3,74.09999999999998,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3806,Asuka 880746,3750,Valid,H3.8,239.71,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3807,Asuka 880747,3751,Valid,LL6,246.41,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3808,Asuka 880748,3752,Valid,H6,23.49,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3809,Asuka 880749,3753,Valid,H6,16.66,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3810,Asuka 880752,3754,Valid,H6,72.01000000000002,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3811,Asuka 880753,3755,Valid,L4,36.29,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3812,Asuka 880754,3756,Valid,H5,10.36,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3813,Asuka 880755,3757,Valid,H4,11.9,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3814,Asuka 880756,3758,Valid,H5,62.37,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3815,Asuka 880757,3759,Valid,H4,90.28,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3816,Asuka 880758,3760,Valid,H5,80.84999999999998,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3817,Asuka 880759,3761,Valid,H5,69.42,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3818,Asuka 880760,3762,Valid,H5,68.42,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3819,Asuka 880761,3763,Valid,Eucrite-mmict,65.44,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3820,Asuka 880762,3764,Valid,H4,155.3,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3821,Asuka 880763,3765,Valid,H5,54.73,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3822,Asuka 880764,3766,Valid,H4,38.36,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3823,Asuka 880765,3767,Valid,H4,60.09,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3824,Asuka 880766,3768,Valid,H4,25.24,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3825,Asuka 880767,3769,Valid,H4,44.01,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3826,Asuka 880768,3770,Valid,H5,44.63,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3827,Asuka 880769,3771,Valid,L6,47.67,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3828,Asuka 880770,3772,Valid,H6,1166.03,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3829,Asuka 880771,3773,Valid,H6,35.32,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3830,Asuka 880772,3774,Valid,L6,69.57,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3831,Asuka 880773,3775,Valid,H5,55.16,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3832,Asuka 880774,3776,Valid,L3.7,12.21,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3833,Asuka 880775,3777,Valid,LL6,30.76,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3834,Asuka 880776,3778,Valid,H5,153.78,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3835,Asuka 880777,3779,Valid,H5,105.15,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3836,Asuka 880778,3780,Valid,H5,53.41,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3837,Asuka 880779,3781,Valid,H5,92.48,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3838,Asuka 880780,3782,Valid,LL5,85.55,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3839,Asuka 880781,3783,Valid,H4,81.84999999999998,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3840,Asuka 880782,3784,Valid,H4,58.28,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3841,Asuka 880784,3785,Valid,Ureilite,44.23,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3842,Asuka 880785,3786,Valid,Diogenite,52.73,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3843,Asuka 880786,3787,Valid,H4,47.05,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3844,Asuka 880788,3788,Valid,H3.8,220.13,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3845,Asuka 880789,3789,Valid,H4,61.55,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3846,Asuka 880790,3790,Valid,H4,40.61,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3847,Asuka 880791,3791,Valid,H4,27.03,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3848,Asuka 880792,3792,Valid,H6,28.75,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3849,Asuka 880793,3793,Valid,H3.6,67.01,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3850,Asuka 880794,3794,Valid,H4,27.98,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3851,Asuka 880795,3795,Valid,LL3.8,27.92,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3852,Asuka 880796,3796,Valid,H5,43.15,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3853,Asuka 880797,3797,Valid,H5,43.29,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3854,Asuka 880798,3798,Valid,H4,25.59,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3855,Asuka 880799,3799,Valid,H4,21.85,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3856,Asuka 880800,3800,Valid,H4,51.53,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3857,Asuka 880801,3801,Valid,H4,13.47,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3858,Asuka 880802,3802,Valid,H5,51.98,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3859,Asuka 880803,3803,Valid,H6,28.19,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3860,Asuka 880804,3804,Valid,H5,34.55,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3861,Asuka 880805,3805,Valid,H4,48.57,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3862,Asuka 880806,3806,Valid,H4,48.31,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3863,Asuka 880807,3807,Valid,H4,52.71,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3864,Asuka 880808,3808,Valid,H4,121.66,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3865,Asuka 880809,3809,Valid,H4-6,54.1,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3866,Asuka 880810,3810,Valid,H4,40.39,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3867,Asuka 880811,3811,Valid,H5,36.75,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3868,Asuka 880812,3812,Valid,H5,16.94,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3869,Asuka 880813,3813,Valid,H4,34.72,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3870,Asuka 880814,3814,Valid,H5,79.34,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3871,Asuka 880815,3815,Valid,L6,40.53,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3872,Asuka 880816,3816,Valid,L6,118.34,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3873,Asuka 880817,3817,Valid,H5,36.59,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3874,Asuka 880818,3818,Valid,H6,37.57,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3875,Asuka 880819,3819,Valid,H5,18.52,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3876,Asuka 880820,3820,Valid,L3.7,19.55,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3877,Asuka 880821,3821,Valid,H4,12.57,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3878,Asuka 880822,3822,Valid,H5,35.8,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3879,Asuka 880823,3823,Valid,H4-6,14.73,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3880,Asuka 880825,3824,Valid,LL6,49.9,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3881,Asuka 880826,3825,Valid,H5,294.85,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3882,Asuka 880828,3826,Valid,H5,27.29,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3883,Asuka 880829,3827,Valid,H4,126.69,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3884,Asuka 880830,3828,Valid,H5,37.56,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3885,Asuka 880831,3829,Valid,H5,83.18,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3886,Asuka 880832,3830,Valid,H5,279.34,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3887,Asuka 880833,3831,Valid,LL3.8,29.32,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3888,Asuka 880834,3832,Valid,H5,21.32,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3889,Asuka 880835,3833,Valid,CV3,58.48,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3890,Asuka 880836,3834,Valid,L5,53.12,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3891,Asuka 880837,3835,Valid,H4,19.81,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3892,Asuka 880838,3836,Valid,L5,124.34,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3893,Asuka 880839,3837,Valid,H5,131.6,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3894,Asuka 880840,3838,Valid,H3.7,60.92,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3895,Asuka 880841,3839,Valid,H4,86.63,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3896,Asuka 880842,3840,Valid,H5,27.49,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3897,Asuka 880843,3841,Valid,L6,15.6,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3898,Asuka 880844,3842,Valid,H7,48.53,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3899,Asuka 880845,3843,Valid,LL6,44.71,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3900,Asuka 880846,3844,Valid,H5,33.62,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3901,Asuka 880847,3845,Valid,H4,19.51,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3902,Asuka 880848,3846,Valid,H4,74.41,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3903,Asuka 880849,3847,Valid,CO3,31.97,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3904,Asuka 880850,3848,Valid,LL6,56.75,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3905,Asuka 880851,3849,Valid,H4,40.91,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3906,Asuka 880852,3850,Valid,H,140.65,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3907,Asuka 880853,3851,Valid,H6,133.84,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3908,Asuka 880854,3852,Valid,H5,81.73999999999998,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3909,Asuka 880855,3853,Valid,H4,118.61,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3910,Asuka 880856,3854,Valid,L6,389.21,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3911,Asuka 880857,3855,Valid,L4,90.72,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3912,Asuka 880858,3856,Valid,H4,40.77,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3913,Asuka 880859,3857,Valid,H5,29.25,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3914,Asuka 880860,3858,Valid,H4,20.55,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3915,Asuka 880862,3859,Valid,H5,35.91,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3916,Asuka 880863,3860,Valid,H3.7,19.3,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3917,Asuka 880864,3861,Valid,H4,56.65,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3918,Asuka 880865,3862,Valid,H4,25.41,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3919,Asuka 880866,3863,Valid,H5,24.84,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3920,Asuka 880867,3864,Valid,H5,38.6,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3921,Asuka 880868,3865,Valid,H6,3.34,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3922,Asuka 880869,3866,Valid,H3.8,114.34,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3923,Asuka 880870,3867,Valid,L3.6,71.69,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3924,Asuka 880871,3868,Valid,H5,52.58,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3925,Asuka 880874,3869,Valid,H4,35.84000000000001,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3926,Asuka 880875,3870,Valid,H4,96.7,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3927,Asuka 880876,3871,Valid,H6,17.739999999999995,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3928,Asuka 880877,3872,Valid,H4,40.24,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3929,Asuka 880878,3873,Valid,H5,30.82,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3930,Asuka 880879,3874,Valid,H4,10.24,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3931,Asuka 880880,3875,Valid,H4,109.62,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3932,Asuka 880881,3876,Valid,H4,21.59,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3933,Asuka 880882,3877,Valid,H4,58.26,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3934,Asuka 880883,3878,Valid,LL6,19.44,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3935,Asuka 880884,3879,Valid,H4,53.0,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3936,Asuka 880885,3880,Valid,H4,83.89,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3937,Asuka 880886,3881,Valid,H4-6,47.34,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3938,Asuka 880887,3882,Valid,H5,44.11,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3939,Asuka 880888,3883,Valid,H4,20.47,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3940,Asuka 880889,3884,Valid,H4,27.97,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3941,Asuka 880890,3885,Valid,H4,28.12,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3942,Asuka 880891,3886,Valid,H4,10.87,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3943,Asuka 880892,3887,Valid,LL6,36.89,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3944,Asuka 880893,3888,Valid,H5,18.1,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3945,Asuka 880894,3889,Valid,L5,32.42,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3946,Asuka 880896,3890,Valid,H5,52.12,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3947,Asuka 880900,3891,Valid,H4,22.0,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3948,Asuka 880901,3892,Valid,H3.7,12.14,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3949,Asuka 880903,3893,Valid,H4,13.24,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3950,Asuka 880905,3894,Valid,H5,41.2,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3951,Asuka 880906,3895,Valid,LL6,21.07,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3952,Asuka 880907,3896,Valid,H5,49.73,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3953,Asuka 880908,3897,Valid,L3.7,50.46,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3954,Asuka 880909,3898,Valid,EH3,20.01,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3955,Asuka 880911,3899,Valid,H5,36.25,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3956,Asuka 880913,3900,Valid,L6,57.72,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3957,Asuka 880914,3901,Valid,H4,23.53,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3958,Asuka 880916,3902,Valid,H3.3,15.87,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3959,Asuka 880917,3903,Valid,H4,58.91,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3960,Asuka 880918,3904,Valid,H4,294.9,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3961,Asuka 880919,3905,Valid,L6,39.78,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3962,Asuka 880920,3906,Valid,LL6,19.19,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3963,Asuka 880921,3907,Valid,H,40.63,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3964,Asuka 880923,3908,Valid,H4,20.58,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3965,Asuka 880924,3909,Valid,H4,140.16,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3966,Asuka 880925,3910,Valid,H3.7,56.07,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3967,Asuka 880926,3911,Valid,H4,82.47,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3968,Asuka 880930,3912,Valid,H3.7,52.21,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3969,Asuka 880931,3913,Valid,H5,18.44,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3970,Asuka 880932,3914,Valid,H4,12.11,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3971,Asuka 880933,3915,Valid,LL7,35.05,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3972,Asuka 880934,3916,Valid,L5,44.83,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3973,Asuka 880935,3917,Valid,L6,27.78,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3974,Asuka 880936,3918,Valid,Diogenite,39.46,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3975,Asuka 880938,3919,Valid,L3.5,388.82,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3976,Asuka 880939,3920,Valid,H4,23.91,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3977,Asuka 880941,3921,Valid,H3.3,37.82,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3978,Asuka 880943,3922,Valid,H6,21.0,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3979,Asuka 880944,3923,Valid,H5,30.77,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3980,Asuka 880945,3924,Valid,H4,21.83,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3981,Asuka 880946,3925,Valid,H4,15.88,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3982,Asuka 880947,3926,Valid,H4,25.3,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
3983,Asuka 880948,3927,Valid,H4,73.56,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
